"path","type","class","length","dim","is_list_like","preview"
"<root>$results$data$scen_21[[2]]$RepOut","double","numeric",100,NA,FALSE,"c(18619192, 19843370, 14463179) … (97 more)"
"<root>$results$data$scen_21[[2]]$lnRS","double","numeric",100,NA,FALSE,"c(1.02813908238925, 1.31078976617723, 1.17291920641087) … (97 more)"
"<root>$results$data$scen_21[[2]]$meanSesc","double","numeric",100,NA,FALSE,"c(860.685825299119, 848.023751324086, 825.605291677216) … (97 more)"
"<root>$results$data$scen_21[[2]]$meanSret","double","numeric",100,NA,FALSE,"c(860.956725002231, 847.287618472545, 825.048055257433) … (97 more)"
"<root>$results$data$scen_21[[2]]$meanSharv","double","numeric",100,NA,FALSE,"c(861.051881863335, 846.873545974258, 824.814543685023) … (97 more)"
"<root>$results$data$scen_21[[3]]","list","data.frame",12,"100x12",TRUE,NA
"<root>$results$data$scen_21[[3]]$Year","integer","integer",100,NA,FALSE,"11:13 … (97 more)"
"<root>$results$data$scen_21[[3]]$Ret","double","numeric",100,NA,FALSE,"c(22944, 22724, 29560) … (97 more)"
"<root>$results$data$scen_21[[3]]$Rec","double","numeric",100,NA,FALSE,"c(34782, 19977, 23157) … (97 more)"
"<root>$results$data$scen_21[[3]]$eps","double","numeric",100,NA,FALSE,"c(0.37726, -0.07146, 0.03609) … (97 more)"
"<root>$results$data$scen_21[[3]]$reg","double","numeric",100,NA,FALSE,"c(1, 1, 2) … (97 more)"
"<root>$results$data$scen_21[[3]]$Esc","double","numeric",100,NA,FALSE,"c(10723, 8627, 10550) … (97 more)"
"<root>$results$data$scen_21[[3]]$Harv","double","numeric",100,NA,FALSE,"c(12221, 14097, 19010) … (97 more)"
"<root>$results$data$scen_21[[3]]$RepOut","double","numeric",100,NA,FALSE,"c(9319959, 6086417, 6799953) … (97 more)"
"<root>$results$data$scen_21[[3]]$lnRS","double","numeric",100,NA,FALSE,"c(1.17670904434764, 0.839684791702153, 0.786171250713751) … (97 more)"
"<root>$results$data$scen_21[[3]]$meanSesc","double","numeric",100,NA,FALSE,"c(857.80815368341, 816.35370484205, 837.258906057875) … (97 more)"
"<root>$results$data$scen_21[[3]]$meanSret","double","numeric",100,NA,FALSE,"c(857.644118793358, 818.628097697611, 836.706218797696) … (97 more)"
"<root>$results$data$scen_21[[3]]$meanSharv","double","numeric",100,NA,FALSE,"c(857.500165425033, 820.019187342034, 836.399493358723) … (97 more)"
"<root>$results$data$scen_21[[4]]","list","data.frame",12,"100x12",TRUE,NA
"<root>$results$data$scen_21[[4]]$Year","integer","integer",100,NA,FALSE,"11:13 … (97 more)"
"<root>$results$data$scen_21[[4]]$Ret","double","numeric",100,NA,FALSE,"c(23745, 31493, 36517) … (97 more)"
"<root>$results$data$scen_21[[4]]$Rec","double","numeric",100,NA,FALSE,"c(19966, 24466, 14942) … (97 more)"
"<root>$results$data$scen_21[[4]]$eps","double","numeric",100,NA,FALSE,"c(-0.22098, -0.02372, -0.5246) … (97 more)"
"<root>$results$data$scen_21[[4]]$reg","double","numeric",100,NA,FALSE,"c(1, 2, 1) … (97 more)"
"<root>$results$data$scen_21[[4]]$Esc","double","numeric",100,NA,FALSE,"c(7509, 9184, 6162) … (97 more)"
"<root>$results$data$scen_21[[4]]$Harv","double","numeric",100,NA,FALSE,"c(16236, 22309, 30355) … (97 more)"
"<root>$results$data$scen_21[[4]]$RepOut","double","numeric",100,NA,FALSE,"c(5278771, 5429597, 5663075) … (97 more)"
"<root>$results$data$scen_21[[4]]$lnRS","double","numeric",100,NA,FALSE,"c(0.977928525796487, 0.979821559047514, 0.885774639379133) … (97 more)"
"<root>$results$data$scen_21[[4]]$meanSesc","double","numeric",100,NA,FALSE,"c(818.378882855698, 829.52908545061, 862.784943572574) … (97 more)"
"<root>$results$data$scen_21[[4]]$meanSret","double","numeric",100,NA,FALSE,"c(821.937393488478, 832.297253099175, 859.552596696211) … (97 more)"
"<root>$results$data$scen_21[[4]]$meanSharv","double","numeric",100,NA,FALSE,"c(823.581889935461, 833.436656215121, 858.897077601423) … (97 more)"
"<root>$results$data$scen_21[[5]]","list","data.frame",12,"100x12",TRUE,NA
"<root>$results$data$scen_21[[5]]$Year","integer","integer",100,NA,FALSE,"11:13 … (97 more)"
"<root>$results$data$scen_21[[5]]$Ret","double","numeric",100,NA,FALSE,"c(75712, 88348, 71883) … (97 more)"
"<root>$results$data$scen_21[[5]]$Rec","double","numeric",100,NA,FALSE,"c(76286, 41908, 46222) … (97 more)"
"<root>$results$data$scen_21[[5]]$eps","double","numeric",100,NA,FALSE,"c(0.13582, -0.46078, -0.36185) … (97 more)"
"<root>$results$data$scen_21[[5]]$reg","double","numeric",100,NA,FALSE,"c(2, 1, 1) … (97 more)"
"<root>$results$data$scen_21[[5]]$Esc","double","numeric",100,NA,FALSE,"c(18523, 12429, 16469) … (97 more)"
"<root>$results$data$scen_21[[5]]$Harv","double","numeric",100,NA,FALSE,"c(57189, 75919, 55414) … (97 more)"
"<root>$results$data$scen_21[[5]]$RepOut","double","numeric",100,NA,FALSE,"c(11695628, 11053985, 12895239) … (97 more)"
"<root>$results$data$scen_21[[5]]$lnRS","double","numeric",100,NA,FALSE,"c(1.41547623207563, 1.21544428772734, 1.03197604932911) … (97 more)"
"<root>$results$data$scen_21[[5]]$meanSesc","double","numeric",100,NA,FALSE,"c(831.875655518716, 858.252786705736, 839.58658377691) … (97 more)"
"<root>$results$data$scen_21[[5]]$meanSret","double","numeric",100,NA,FALSE,"c(834.076217751992, 855.951405617985, 838.629906136955) … (97 more)"
